-------------------------last log tuples start--------------------------------
Time [clock=2, time=null]
Time [clock=3, time=null]
Tile [id=null, cell=Cell [x=0, y=0], subject=green, time=2015-04-21 20:05:28.571, clock=0]
Tile [id=null, cell=Cell [x=3, y=4], subject=orange, time=2015-04-21 20:05:28.393, clock=0]
Tile [id=null, cell=Cell [x=1, y=3], subject=red, time=2015-04-21 20:05:28.381, clock=0]
Tile [id=null, cell=Cell [x=1, y=3], subject=red, time=2015-04-21 20:04:54.928, clock=0]
Tile [id=null, cell=Cell [x=3, y=0], subject=red, time=2015-04-21 20:05:28.39, clock=0]
Tile [id=null, cell=Cell [x=1, y=4], subject=purple, time=2015-04-21 20:05:28.382, clock=0]
Tile [id=null, cell=Cell [x=4, y=0], subject=green, time=2015-04-21 20:05:28.395, clock=0]
Tile [id=null, cell=Cell [x=2, y=1], subject=red, time=2015-04-21 20:05:15.949, clock=0]
Tile [id=null, cell=Cell [x=0, y=2], subject=red, time=2015-04-21 20:05:15.931, clock=0]
Tile [id=null, cell=Cell [x=2, y=1], subject=red, time=2015-04-21 20:05:28.386, clock=0]
Tile [id=null, cell=Cell [x=0, y=4], subject=green, time=2015-04-21 20:04:54.92, clock=0]
Tile [id=null, cell=Cell [x=2, y=3], subject=purple, time=2015-04-21 20:05:28.59, clock=0]
Tile [id=null, cell=Cell [x=1, y=0], subject=green, time=2015-04-21 20:05:28.376, clock=0]
Tile [id=null, cell=Cell [x=4, y=2], subject=orange, time=2015-04-21 20:05:28.397, clock=0]
Tile [id=null, cell=Cell [x=4, y=4], subject=green, time=2015-04-21 20:05:15.961, clock=0]
Tile [id=null, cell=Cell [x=0, y=3], subject=orange, time=2015-04-21 20:05:28.374, clock=0]
Tile [id=null, cell=Cell [x=4, y=1], subject=purple, time=2015-04-21 20:04:54.945, clock=0]
Tile [id=null, cell=Cell [x=4, y=1], subject=purple, time=2015-04-21 20:05:15.959, clock=0]
Tile [id=null, cell=Cell [x=3, y=4], subject=orange, time=2015-04-21 20:05:28.599, clock=0]
Tile [id=null, cell=Cell [x=0, y=1], subject=green, time=2015-04-21 20:05:28.371, clock=0]
Tile [id=null, cell=Cell [x=2, y=1], subject=red, time=2015-04-21 20:05:28.588, clock=0]
Tile [id=null, cell=Cell [x=3, y=4], subject=orange, time=2015-04-21 20:05:15.957, clock=0]
Tile [id=null, cell=Cell [x=2, y=3], subject=purple, time=2015-04-21 20:04:54.934, clock=0]
Tile [id=null, cell=Cell [x=0, y=3], subject=orange, time=2015-04-21 20:05:15.933, clock=0]
Tile [id=null, cell=Cell [x=4, y=4], subject=green, time=2015-04-21 20:05:28.4, clock=0]
Tile [id=null, cell=Cell [x=2, y=3], subject=purple, time=2015-04-21 20:05:15.951, clock=0]
Tile [id=null, cell=Cell [x=0, y=2], subject=red, time=2015-04-21 20:05:28.373, clock=0]
Tile [id=null, cell=Cell [x=4, y=3], subject=purple, time=2015-04-21 20:05:15.96, clock=0]
Tile [id=null, cell=Cell [x=1, y=1], subject=orange, time=2015-04-21 20:05:28.581, clock=0]
Tile [id=null, cell=Cell [x=3, y=1], subject=orange, time=2015-04-21 20:05:15.954, clock=0]
Tile [id=null, cell=Cell [x=2, y=0], subject=red, time=2015-04-21 20:05:15.948, clock=0]
Tile [id=null, cell=Cell [x=3, y=2], subject=purple, time=2015-04-21 20:05:15.955, clock=0]
Tile [id=null, cell=Cell [x=4, y=2], subject=orange, time=2015-04-21 20:04:54.947, clock=0]
Tile [id=null, cell=Cell [x=2, y=0], subject=red, time=2015-04-21 20:04:54.93, clock=0]
Tile [id=null, cell=Cell [x=3, y=0], subject=red, time=2015-04-21 20:04:33.989, clock=0]
Tile [id=null, cell=Cell [x=4, y=2], subject=orange, time=2015-04-21 20:05:15.959, clock=0]
Tile [id=null, cell=Cell [x=1, y=4], subject=purple, time=2015-04-21 20:05:15.945, clock=0]
Tile [id=null, cell=Cell [x=2, y=2], subject=green, time=2015-04-21 20:04:54.933, clock=0]
Tile [id=null, cell=Cell [x=1, y=1], subject=orange, time=2015-04-21 20:05:15.937, clock=0]
Tile [id=null, cell=Cell [x=1, y=4], subject=purple, time=2015-04-21 20:04:54.929, clock=0]
Tile [id=null, cell=Cell [x=4, y=1], subject=purple, time=2015-04-21 20:04:34.002, clock=0]
Tile [id=null, cell=Cell [x=0, y=4], subject=green, time=2015-04-21 20:04:33.967, clock=0]
Tile [id=null, cell=Cell [x=1, y=2], subject=red, time=2015-04-21 20:05:15.939, clock=0]
Tile [id=null, cell=Cell [x=1, y=2], subject=red, time=2015-04-21 20:04:54.926, clock=0]
Tile [id=null, cell=Cell [x=2, y=4], subject=red, time=2015-04-21 20:04:54.936, clock=0]
Tile [id=null, cell=Cell [x=2, y=4], subject=red, time=2015-04-21 20:04:33.985, clock=0]
Tile [id=null, cell=Cell [x=3, y=3], subject=purple, time=2015-04-21 20:04:54.941, clock=0]
Tile [id=null, cell=Cell [x=1, y=1], subject=orange, time=2015-04-21 20:04:54.925, clock=0]
Tile [id=null, cell=Cell [x=0, y=0], subject=green, time=2015-04-21 20:05:28.37, clock=0]
Tile [id=null, cell=Cell [x=3, y=4], subject=orange, time=2015-04-21 20:04:54.942, clock=0]
Tile [id=null, cell=Cell [x=4, y=0], subject=green, time=2015-04-21 20:04:54.944, clock=0]
Tile [id=null, cell=Cell [x=4, y=0], subject=green, time=2015-04-21 20:04:34.0, clock=0]
Tile [id=null, cell=Cell [x=3, y=2], subject=purple, time=2015-04-21 20:04:33.996, clock=0]
Tile [id=null, cell=Cell [x=0, y=2], subject=red, time=2015-04-21 20:04:33.964, clock=0]
Tile [id=null, cell=Cell [x=1, y=0], subject=green, time=2015-04-21 20:05:15.936, clock=0]
Tile [id=null, cell=Cell [x=3, y=3], subject=purple, time=2015-04-21 20:05:15.956, clock=0]
Tile [id=null, cell=Cell [x=3, y=2], subject=purple, time=2015-04-21 20:04:54.94, clock=0]
Tile [id=null, cell=Cell [x=0, y=2], subject=red, time=2015-04-21 20:04:54.914, clock=0]
Tile [id=null, cell=Cell [x=0, y=1], subject=green, time=2015-04-21 20:05:15.93, clock=0]
Tile [id=null, cell=Cell [x=2, y=4], subject=red, time=2015-04-21 20:05:15.952, clock=0]
Tile [id=null, cell=Cell [x=4, y=4], subject=green, time=2015-04-21 20:04:54.949, clock=0]
Tile [id=null, cell=Cell [x=0, y=3], subject=orange, time=2015-04-21 20:05:28.576, clock=0]
Tile [id=null, cell=Cell [x=4, y=3], subject=purple, time=2015-04-21 20:04:34.006, clock=0]
Tile [id=null, cell=Cell [x=2, y=1], subject=red, time=2015-04-21 20:04:54.932, clock=0]
Tile [id=null, cell=Cell [x=4, y=4], subject=green, time=2015-04-21 20:04:34.007, clock=0]
Tile [id=null, cell=Cell [x=0, y=0], subject=green, time=2015-04-21 20:04:54.909, clock=0]
Tile [id=null, cell=Cell [x=2, y=2], subject=green, time=2015-04-21 20:04:33.982, clock=0]
Tile [id=null, cell=Cell [x=2, y=3], subject=purple, time=2015-04-21 20:04:33.984, clock=0]
Tile [id=null, cell=Cell [x=0, y=4], subject=green, time=2015-04-21 20:05:28.375, clock=0]
Tile [id=null, cell=Cell [x=1, y=3], subject=red, time=2015-04-21 20:05:15.94, clock=0]
Tile [id=null, cell=Cell [x=1, y=0], subject=green, time=2015-04-21 20:04:54.924, clock=0]
Tile [id=null, cell=Cell [x=4, y=0], subject=green, time=2015-04-21 20:05:15.958, clock=0]
Tile [id=null, cell=Cell [x=3, y=3], subject=purple, time=2015-04-21 20:04:33.997, clock=0]
Tile [id=null, cell=Cell [x=3, y=4], subject=orange, time=2015-04-21 20:04:33.999, clock=0]
Tile [id=null, cell=Cell [x=4, y=3], subject=purple, time=2015-04-21 20:04:54.948, clock=0]
Tile [id=null, cell=Cell [x=1, y=1], subject=orange, time=2015-04-21 20:04:33.97, clock=0]
Tile [id=null, cell=Cell [x=4, y=2], subject=orange, time=2015-04-21 20:04:34.004, clock=0]
Tile [id=null, cell=Cell [x=1, y=3], subject=red, time=2015-04-21 20:04:33.975, clock=0]
Tile [id=null, cell=Cell [x=2, y=0], subject=red, time=2015-04-21 20:04:33.979, clock=0]
Tile [id=null, cell=Cell [x=3, y=1], subject=orange, time=2015-04-21 20:04:33.994, clock=0]
Tile [id=null, cell=Cell [x=2, y=1], subject=red, time=2015-04-21 20:04:33.98, clock=0]
Tile [id=null, cell=Cell [x=0, y=4], subject=green, time=2015-04-21 20:05:15.934, clock=0]
Tile [id=null, cell=Cell [x=1, y=2], subject=red, time=2015-04-21 20:04:33.973, clock=0]
Tile [id=null, cell=Cell [x=3, y=1], subject=orange, time=2015-04-21 20:04:54.938, clock=0]
Tile [id=null, cell=Cell [x=0, y=3], subject=orange, time=2015-04-21 20:04:33.965, clock=0]
Tile [id=null, cell=Cell [x=0, y=3], subject=orange, time=2015-04-21 20:04:54.919, clock=0]
Tile [id=null, cell=Cell [x=1, y=4], subject=purple, time=2015-04-21 20:04:33.976, clock=0]
Tile [id=null, cell=Cell [x=0, y=1], subject=green, time=2015-04-21 20:04:54.912, clock=0]
Tile [id=null, cell=Cell [x=0, y=0], subject=green, time=2015-04-21 20:05:15.928, clock=0]
Tile [id=null, cell=Cell [x=0, y=0], subject=green, time=2015-04-21 20:04:33.928, clock=0]
Tile [id=null, cell=Cell [x=1, y=0], subject=green, time=2015-04-21 20:04:33.968, clock=0]
Tile [id=null, cell=Cell [x=0, y=1], subject=green, time=2015-04-21 20:04:33.962, clock=0]
-------------------------last log tuples end----------------------------------
[CTAH] started agent 10
[CTAH] Added a new agent to the game by the name of 10.
[ENV] added agent a10
[CTAH] started agent 30
[CTAH] Added a new agent to the game by the name of 30.
[ENV] added agent a30
[CTAH] started agent 40
[CTAH] Added a new agent to the game by the name of 40.
[ENV] added agent a40
setPhases in ClientGameStatus, the current phase is Feedback Phase
setPhases in ClientGameStatus, the current phase is Feedback Phase
setPhases in ClientGameStatus, the current phase is Feedback Phase
(((((((((((((((((Game ended)))))))))))
Game ended 
My PlayerStatus is: Game Player...
PerGameId: 0.
PIN: 10.
Pos: (R:3,C:3).
Chips: { chips  'orange':2 'red':3 'purple':1 'green':2 }.
Score: 140.
Team: -1.

(((((((((((((((((Game ended)))))))))))
Game ended 
My PlayerStatus is: Game Player...
PerGameId: 2.
PIN: 30.
Pos: (R:0,C:0).
Chips: { chips  'orange':4 'red':4 'purple':4 'green':4 }.
Score: 20.
Team: -1.

(((((((((((((((((Game ended)))))))))))
Game ended 
My PlayerStatus is: Game Player...
PerGameId: 3.
PIN: 40.
Pos: (R:2,C:2).
Chips: { chips  'orange':1 'red':1 'purple':3 'green':2 }.
Score: 15.
Team: -1.

setPhases in ClientGameStatus, the current phase is Communication Phase
